County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Kennebec County,Maine,9,0.58
Robertson County,Kentucky,7.1,0.58
Manatee County,Florida,No Data,0.58
Knox County,Missouri,7.8,0.58
Gallatin County,Illinois,7.1,0.58
Appling County,Georgia,9,0.58
Livingston County,Missouri,9.2,0.58
Douglas County,Georgia,12.1,0.58
Chicot County,Arkansas,9.1,0.58
Cherokee County,Georgia,7.4,0.58
Livingston County,Kentucky,7.1,0.58
Calhoun County,Iowa,8.1,0.58
Grant County,Arkansas,8.4,0.58
Berrien County,Georgia,11.2,0.58
Morgan County,Georgia,8.3,0.58
Dawson County,Georgia,8.1,0.58
Rock County,Wisconsin,8.4,0.59
Sheboygan County,Wisconsin,7.4,0.59
Edgefield County,South Carolina,10.5,0.59
Rockingham County,Virginia,10.3,0.59
Trousdale County,Tennessee,7.4,0.59
Adams County,Ohio,10.7,0.59
Pontotoc County,Mississippi,10.4,0.59
Stone County,Mississippi,8.3,0.59
Seneca County,New York,10,0.59
Platte County,Missouri,8.6,0.59
Hayes County,Nebraska,8.3,0.59
Pope County,Minnesota,6.7,0.59
Iredell County,North Carolina,9.7,0.59
Somerset County,Maine,9.7,0.59
Breckinridge County,Kentucky,7.9,0.59
Lenawee County,Michigan,9.1,0.59
Saginaw County,Michigan,11.3,0.59
Ashe County,North Carolina,8.2,0.59
St. Tammany Parish,Louisiana,9.2,0.59
Branch County,Michigan,9.2,0.59
Madison County,Missouri,9.3,0.59
Harris County,Georgia,11,0.59
Butler County,Kentucky,7.9,0.59
Houston County,Alabama,10.2,0.59
Gordon County,Georgia,9.5,0.59
Ottawa County,Kansas,8.4,0.59
Washington County,Minnesota,7.8,0.59
Mississippi County,Arkansas,11.4,0.59
Glynn County,Georgia,9.5,0.59
Burke County,Georgia,11.6,0.59
Fond Du Lac County,Wisconsin,7.3,0.6
Cannon County,Tennessee,6.9,0.6
Dodge County,Wisconsin,7.5,0.6
Cocke County,Tennessee,9.5,0.6
Sullivan County,Pennsylvania,7.3,0.6
Rutherford County,Tennessee,9,0.6
Clay County,North Carolina,7.2,0.6
Essex County,Vermont,7.5,0.6
St. John The Baptist Parish,Louisiana,10.6,0.6
Sherman County,Nebraska,8,0.6
Lac Qui Parle County,Minnesota,7.9,0.6
Hillsdale County,Michigan,7.7,0.6
Union County,Florida,No Data,0.6
Huntington County,Indiana,10.1,0.6
Ford County,Illinois,7.2,0.6
Osceola County,Iowa,7,0.6
Decatur County,Iowa,6.8,0.6
Palo Alto County,Iowa,7.9,0.6
Hancock County,Georgia,9.9,0.6
Alexander County,Illinois,7.7,0.6
Rabun County,Georgia,8.2,0.6
Rockdale County,Georgia,8.9,0.6
Woodruff County,Arkansas,9,0.6
Stewart County,Georgia,8.9,0.6
Stephens County,Georgia,7.9,0.6
Richland County,Wisconsin,6.8,0.61
Aiken County,South Carolina,11.5,0.61
Smith County,Tennessee,7.2,0.61
Patrick County,Virginia,8.6,0.61
Cheatham County,Tennessee,8.5,0.61
Dunn County,Wisconsin,8.3,0.61
Alexander County,North Carolina,7.2,0.61
Banner County,Nebraska,7.1,0.61
Coffee County,Tennessee,10.4,0.61
Webster County,Iowa,8.3,0.61
Dekalb County,Tennessee,7.1,0.61
Mcleod County,Minnesota,7.5,0.61
Winnebago County,Illinois,9.2,0.61
Hamilton County,Iowa,6.6,0.61
Mitchell County,Kansas,7.3,0.61
Madison County,Idaho,7.3,0.61
Carlisle County,Kentucky,7,0.61
Dodge County,Georgia,11.8,0.61
Chattooga County,Georgia,8,0.61
Carroll County,Georgia,9.9,0.61
St. Lucie County,Florida,No Data,0.61
White County,Georgia,7.7,0.61
Maui County,Hawaii,6.9,0.61
Jackson County,Illinois,8.3,0.61
Newport News City,Virginia,11.1,0.62
Bergen County,New Jersey,6.4,0.62
Hamilton County,Tennessee,10.6,0.62
New Hanover County,North Carolina,8.2,0.62
Jackson County,Minnesota,6.9,0.62
Harlan County,Nebraska,6.2,0.62
Randolph County,Missouri,10.1,0.62
Madison County,North Carolina,7.8,0.62
Nassau County,New York,7.3,0.62
Benton County,Minnesota,8.1,0.62
Heard County,Georgia,7.5,0.62
Clay County,Alabama,8.2,0.62
Drew County,Arkansas,8.5,0.62
Graves County,Kentucky,10.9,0.62
Quitman County,Georgia,8.4,0.62
Lake County,Florida,No Data,0.62
Orange County,Florida,No Data,0.62
Pitkin County,Colorado,6.5,0.62
Brantley County,Georgia,8.8,0.62
Newport County,Rhode Island,6.2,0.63
Nelson County,Virginia,9.8,0.63
Carroll County,Tennessee,8.3,0.63
Eau Claire County,Wisconsin,6.3,0.63
Loudon County,Tennessee,6.8,0.63
Greenwood County,South Carolina,12.4,0.63
Marathon County,Wisconsin,8.5,0.63
Kearney County,Nebraska,8,0.63
Dorchester County,Maryland,10.9,0.63
Pierce County,Nebraska,7.7,0.63
Pemiscot County,Missouri,10.9,0.63
Warren County,Virginia,8.4,0.63
Alexandria City,Virginia,7.4,0.63
Orange County,North Carolina,7.6,0.63
Martin County,Minnesota,8.4,0.63
Hodgeman County,Kansas,7.2,0.63
Calcasieu Parish,Louisiana,10.5,0.63
Ingham County,Michigan,8.8,0.63
Chilton County,Alabama,9.9,0.63
Mcpherson County,Kansas,8.1,0.63
Meade County,Kentucky,7.2,0.63
Lincoln County,Arkansas,8.4,0.63
Blount County,Alabama,8.5,0.63
Coffee County,Georgia,12.1,0.63
Fauquier County,Virginia,6.5,0.63
Palm Beach County,Florida,No Data,0.63
Chester County,South Carolina,10.2,0.64
Dickson County,Tennessee,8.1,0.64
Southampton County,Virginia,9.5,0.64
Orange County,Virginia,7.8,0.64
Clay County,Tennessee,7.9,0.64
Mercer County,Missouri,8.3,0.64
Rockland County,New York,8.3,0.64
Perkins County,Nebraska,6.3,0.64
Hardin County,Iowa,7.7,0.64
Clarke County,Alabama,9.9,0.64
Adams County,Mississippi,11.6,0.64
Claiborne Parish,Louisiana,10.8,0.64
St. Joseph County,Michigan,7.8,0.64
Bartow County,Georgia,9.1,0.64
Montgomery County,Iowa,9.1,0.64
Kendall County,Illinois,8.9,0.64
Columbia County,Arkansas,10.9,0.64
Saline County,Arkansas,9.6,0.64
Sussex County,Virginia,9.3,0.65
Chesterfield County,Virginia,9.5,0.65
Norfolk City,Virginia,10.2,0.65
Chester County,Tennessee,9.7,0.65
Orleans County,Vermont,6.6,0.65
Rhea County,Tennessee,8.1,0.65
Lewis County,Tennessee,7.3,0.65
Rockingham County,North Carolina,8.9,0.65
Fort Bend County,Texas,10.3,0.65
Catawba County,North Carolina,7.7,0.65
Unicoi County,Tennessee,7.6,0.65
Monroe County,Tennessee,9.6,0.65
Miller County,Missouri,9,0.65
Sibley County,Minnesota,8.4,0.65
Jackson County,Missouri,10.2,0.65
Sherburne County,Minnesota,7,0.65
Callaway County,Missouri,7.3,0.65
Gladwin County,Michigan,8.4,0.65
Barry County,Michigan,7.9,0.65
Freeborn County,Minnesota,7.8,0.65
Antelope County,Nebraska,7.4,0.65
Hartford County,Connecticut,9.5,0.65
Chippewa County,Wisconsin,6.9,0.66
Calumet County,Wisconsin,7.4,0.66
Waynesboro City,Virginia,7.2,0.66
Amelia County,Virginia,10,0.66
Washington County,Texas,7.7,0.66
Gaston County,North Carolina,8.3,0.66
Salem County,New Jersey,10,0.66
Dakota County,Minnesota,7.5,0.66
Massac County,Illinois,7.4,0.66
Clay County,Missouri,8.9,0.66
Sanilac County,Michigan,7.6,0.66
Meriwether County,Georgia,9.4,0.66
Columbia County,Florida,No Data,0.66
Clay County,Arkansas,10.6,0.66
Rock Island County,Illinois,9.3,0.66
Clark County,Arkansas,9,0.66
Rockbridge County,Virginia,7.5,0.66
Garfield County,Montana,6.6,0.66
Shelby County,Iowa,7.6,0.66
Jim Hogg County,Texas,6.9,0.67
Robertson County,Tennessee,7.8,0.67
Sherman County,Kansas,6.9,0.67
Lafayette County,Missouri,11,0.67
Fulton County,Illinois,7.5,0.67
Conecuh County,Alabama,11.2,0.67
Nicollet County,Minnesota,7,0.67
Fairfield County,Connecticut,6.2,0.67
Mitchell County,Georgia,10.8,0.67
Lawrence County,Arkansas,8.8,0.67
Russell County,Alabama,10.5,0.67
Cleveland County,Arkansas,9.4,0.67
Cullman County,Alabama,9.8,0.67
Wilkinson County,Georgia,8.4,0.67
Berkeley County,South Carolina,11.8,0.68
Collin County,Texas,7.5,0.68
Frederick County,Virginia,8.1,0.68
Orangeburg County,South Carolina,14.2,0.68
Rowan County,North Carolina,10.3,0.68
Calhoun County,South Carolina,9.5,0.68
Cameron County,Texas,12.2,0.68
Dare County,North Carolina,6.8,0.68
Montgomery County,New York,10.4,0.68
Lewis County,Missouri,8.2,0.68
White County,Indiana,9,0.68
Iberia Parish,Louisiana,11.2,0.68
Macon County,Georgia,10.8,0.68
Mcintosh County,Georgia,9.2,0.68
Crawford County,Missouri,8.6,0.68
Gadsden County,Florida,No Data,0.68
Pike County,Alabama,9.9,0.68
Turner County,Georgia,10,0.68
Glascock County,Georgia,7.5,0.68
Thomas County,Georgia,10,0.68
Evans County,Georgia,8.4,0.68
New Haven County,Connecticut,9,0.68
Mcmullen County,Texas,7.3,0.69
Emporia City,Virginia,8.7,0.69
Carteret County,North Carolina,7.5,0.69
Bristol County,Massachusetts,8.2,0.69
Caldwell County,North Carolina,9.7,0.69
Wayne County,Missouri,10.4,0.69
Webster County,Nebraska,7.8,0.69
Union County,North Carolina,9.1,0.69
Pasquotank County,North Carolina,8.4,0.69
Martin County,North Carolina,8.9,0.69
Bay County,Michigan,10.2,0.69
Chase County,Nebraska,7.4,0.69
Jewell County,Kansas,7.2,0.69
Jackson County,Indiana,9,0.69
Bradford County,Florida,No Data,0.69
Berrien County,Michigan,9.9,0.69
Colbert County,Alabama,8.2,0.69
Barrow County,Georgia,8.5,0.69
Elkhart County,Indiana,8.8,0.69
Wayne County,Georgia,9.7,0.69
Faulkner County,Arkansas,10.2,0.69
Routt County,Colorado,6.8,0.69
Arlington County,Virginia,6.2,0.7
Dorchester County,South Carolina,11.5,0.7
Willacy County,Texas,7.5,0.7
Atlantic County,New Jersey,10,0.7
Trimble County,Kentucky,7.5,0.7
District Of Columbia,District of Columbia,7.9,0.7
Piscataquis County,Maine,8.6,0.7
Marshall County,Kansas,7,0.7
Hot Spring County,Arkansas,9.4,0.7
Racine County,Wisconsin,9,0.71
Accomack County,Virginia,9.9,0.71
Jefferson County,New York,9.8,0.71
Kent County,Michigan,8.6,0.71
Ray County,Missouri,8.8,0.71
Craven County,North Carolina,9.8,0.71
Mower County,Minnesota,6.9,0.71
Jones County,Mississippi,12.9,0.71
Osage County,Kansas,9.3,0.71
Etowah County,Alabama,11.6,0.71
Rooks County,Kansas,7.7,0.71
Clarke County,Virginia,8.3,0.72
Bradley County,Tennessee,11,0.72
Monroe County,Pennsylvania,8.7,0.72
Grundy County,Tennessee,8.2,0.72
Hardin County,Texas,13,0.72
Suffolk County,New York,8,0.72
Gosper County,Nebraska,6.9,0.72
Alleghany County,North Carolina,7.7,0.72
Nance County,Nebraska,9.1,0.72
Howard County,Nebraska,7.2,0.72
Cass County,Missouri,8.8,0.72
St. Martin Parish,Louisiana,10.5,0.72
Bossier Parish,Louisiana,10.5,0.72
Swift County,Minnesota,9.1,0.72
Jefferson Parish,Louisiana,10.5,0.72
Edwards County,Illinois,7.5,0.72
Barbour County,Alabama,9.2,0.72
Dade County,Georgia,7.7,0.72
Falls Church City,Virginia,7.4,0.73
Nottoway County,Virginia,8.8,0.73
Brazos County,Texas,9,0.73
Perry County,Tennessee,7.5,0.73
Lunenburg County,Virginia,9.1,0.73
Henderson County,North Carolina,8.7,0.73
Montgomery County,Tennessee,11.1,0.73
Surry County,North Carolina,8.7,0.73
Allegan County,Michigan,8.5,0.73
Davie County,North Carolina,7.4,0.73
Hand County,South Dakota,7.1,0.73
Montcalm County,Michigan,7.9,0.73
Camden County,Georgia,8.7,0.73
Franklin County,Nebraska,6.8,0.73
Avery County,North Carolina,6.6,0.73
Camden County,New Jersey,9.4,0.73
Ionia County,Michigan,8.2,0.73
Rice County,Minnesota,8.2,0.73
Cooper County,Missouri,7.1,0.73
Page County,Iowa,9.7,0.73
Buena Vista County,Iowa,7.1,0.73
Webster County,Georgia,8.3,0.73
Waseca County,Minnesota,7.1,0.73
Sevier County,Tennessee,8.6,0.74
Barnwell County,South Carolina,13.1,0.74
Wasatch County,Utah,6.7,0.74
Lavaca County,Texas,7.2,0.74
Bledsoe County,Tennessee,8,0.74
Furnas County,Nebraska,7.2,0.74
Mercer County,New Jersey,8.2,0.74
Cabarrus County,North Carolina,9.3,0.74
Hancock County,Mississippi,9.3,0.74
Richmond County,New York,10.6,0.74
Barnstable County,Massachusetts,6.8,0.74
Lenoir County,North Carolina,9.7,0.74
Madison County,Alabama,10.8,0.74
Wright County,Iowa,7.6,0.74
Allamakee County,Iowa,7.9,0.74
Pocahontas County,Iowa,7.4,0.74
Caribou County,Idaho,6.7,0.74
Terrell County,Georgia,9,0.74
Lafayette County,Wisconsin,7,0.75
Lake County,Tennessee,7.8,0.75
Hickman County,Tennessee,7.9,0.75
Rusk County,Wisconsin,9.3,0.75
Polk County,North Carolina,6.9,0.75
Tuscola County,Michigan,8.4,0.75
Dekalb County,Missouri,8.8,0.75
Grant County,Minnesota,6.8,0.75
Baker County,Georgia,9,0.75
Johnson County,Missouri,8.2,0.75
Wakulla County,Florida,No Data,0.75
Dixie County,Florida,No Data,0.75
Polk County,Florida,No Data,0.75
Wabash County,Indiana,9.2,0.75
Lee County,Arkansas,9.2,0.75
Gilmer County,Georgia,8.3,0.75
White County,Arkansas,10.2,0.75
Sioux County,Iowa,5.9,0.75
Yancey County,North Carolina,7.3,0.76
Adams County,North Dakota,8,0.76
Colonial Heights City,Virginia,7.3,0.76
Foard County,Texas,7.4,0.76
Northampton County,North Carolina,9.7,0.76
Humphreys County,Tennessee,7.1,0.76
Audrain County,Missouri,12,0.76
Mills County,Iowa,8.2,0.76
Cedar County,Nebraska,7,0.76
Miami County,Kansas,7.2,0.76
Liberty County,Georgia,11.5,0.76
Cook County,Illinois,8.6,0.76
Highlands County,Florida,No Data,0.76
Cumberland County,Virginia,8.4,0.77
Glasscock County,Texas,7.1,0.77
Hopewell City,Virginia,9.6,0.77
Stewart County,Tennessee,7.3,0.77
Cottle County,Texas,7.3,0.77
Catahoula Parish,Louisiana,8.3,0.77
Pike County,Ohio,10.5,0.77
Schenectady County,New York,9.1,0.77
Pearl River County,Mississippi,9,0.77
Union County,Iowa,8.6,0.77
Orleans County,New York,12.3,0.77
Cloud County,Kansas,8.7,0.77
Laclede County,Missouri,8.2,0.77
Charles County,Maryland,11.7,0.77
Gratiot County,Michigan,7.4,0.77
Cuming County,Nebraska,7.2,0.77
Randolph County,Arkansas,9.5,0.77
Bond County,Illinois,7.3,0.77
Okaloosa County,Florida,No Data,0.77
Lumpkin County,Georgia,7.2,0.77
Windham County,Connecticut,10,0.77
Levy County,Florida,No Data,0.77
Wake County,North Carolina,8.2,0.78
Guilford County,North Carolina,8.9,0.78
Chautauqua County,New York,11.3,0.78
Madison County,New York,8.4,0.78
Suffolk County,Massachusetts,8.2,0.78
Angelina County,Texas,12.9,0.78
Camden County,Missouri,8.8,0.78
Mccreary County,Kentucky,9.9,0.78
Saline County,Kansas,8.8,0.78
Clay County,Kansas,10.4,0.78
Osceola County,Michigan,7.8,0.78
Red River Parish,Louisiana,7.7,0.78
Lyon County,Iowa,7.5,0.78
Tattnall County,Georgia,9.9,0.78
Banks County,Georgia,7.9,0.78
Union County,Illinois,6.9,0.78
Daviess County,Indiana,7.9,0.78
Garland County,Arkansas,8.1,0.78
Crenshaw County,Alabama,9.4,0.78
Decatur County,Georgia,9.4,0.78
Barbour County,West Virginia,12.4,0.79
Walker County,Texas,7.8,0.79
Kewaunee County,Wisconsin,7.5,0.79
Kenosha County,Wisconsin,7.8,0.79
Door County,Wisconsin,6.9,0.79
Manitowoc County,Wisconsin,7.4,0.79
Lincoln County,Tennessee,7.9,0.79
Erie County,New York,8.9,0.79
Butler County,Missouri,9.2,0.79
Fillmore County,Nebraska,6.9,0.79
Currituck County,North Carolina,7.7,0.79
Hampden County,Massachusetts,9.9,0.79
Orange County,Texas,11.9,0.8
Winnebago County,Wisconsin,6.8,0.8
Gates County,North Carolina,8.6,0.8
Butler County,Nebraska,8.9,0.8
Griggs County,North Dakota,7,0.8
Buffalo County,Nebraska,9,0.8
Faribault County,Minnesota,8.4,0.8
Union Parish,Louisiana,7.8,0.8
San Francisco County,California,7.9,0.8
Morgan County,Missouri,8.5,0.8
Wexford County,Michigan,7.6,0.8
Atchison County,Kansas,10,0.8
Kent County,Delaware,11.4,0.8
Greene County,Missouri,9,0.8
Gulf County,Florida,No Data,0.8
Gray County,Kansas,6.7,0.8
Jackson County,Arkansas,9.2,0.8
Covington County,Alabama,10.5,0.8
Kendall County,Texas,7.6,0.81
Benton County,Tennessee,7.2,0.81
York County,South Carolina,10.5,0.81
Davis County,Utah,7.9,0.81
Lincoln County,South Dakota,8.4,0.81
Galveston County,Texas,10.1,0.81
Gage County,Nebraska,8.5,0.81
Wilson County,North Carolina,8.4,0.81
Cheyenne County,Kansas,6.7,0.81
Louisa County,Iowa,9.2,0.81
Middlesex County,New Jersey,9.2,0.81
Alpena County,Michigan,8,0.81
Riley County,Kansas,7.6,0.81
Cherokee County,Alabama,8.5,0.81
Crawford County,Georgia,10.5,0.81
Baldwin County,Alabama,9.9,0.81
Coosa County,Alabama,8.4,0.81
Yadkin County,North Carolina,7.7,0.82
Green Lake County,Wisconsin,8,0.82
Buchanan County,Missouri,10.3,0.82
Smith County,Kansas,8.8,0.82
Anderson County,Texas,8.4,0.82
Pamlico County,North Carolina,7,0.82
Missaukee County,Michigan,8.2,0.82
Wright County,Missouri,8.1,0.82
Putnam County,Florida,No Data,0.82
Lafayette County,Arkansas,8.2,0.82
Suwannee County,Florida,No Data,0.82
Lonoke County,Arkansas,8.9,0.82
Ada County,Idaho,7.1,0.82
Fairfax City,Virginia,7.6,0.83
Lamoure County,North Dakota,6.1,0.83
Waupaca County,Wisconsin,8.1,0.83
Putnam County,Tennessee,9.2,0.83
Denton County,Texas,8.2,0.83
Hartley County,Texas,7.3,0.83
Sullivan County,New York,9.3,0.83
Polk County,Missouri,8.2,0.83
Westmoreland County,Virginia,9.5,0.83
Crawford County,Michigan,7.2,0.83
Kiowa County,Kansas,7.6,0.83
Walton County,Florida,No Data,0.83
Mecosta County,Michigan,7.5,0.83
Vernon County,Missouri,9.7,0.83
Christian County,Kentucky,12.9,0.83
Cleburne County,Arkansas,9.2,0.83
Toombs County,Georgia,8.9,0.83
Calhoun County,Arkansas,8.5,0.83
Wharton County,Texas,7.7,0.83
Ben Hill County,Georgia,9.3,0.83
Haywood County,North Carolina,8.5,0.84
Alcona County,Michigan,7.7,0.84
Jackson County,Tennessee,8,0.84
Bay County,Florida,No Data,0.84
Calhoun County,Michigan,9.9,0.84
Pulaski County,Illinois,8.1,0.84
Muscatine County,Iowa,8,0.84
Gwinnett County,Georgia,8.9,0.84
Columbia County,Wisconsin,7.3,0.85
Garfield County,Washington,8.7,0.85
Borden County,Texas,7.3,0.85
Hitchcock County,Nebraska,9.2,0.85
Deuel County,South Dakota,7.3,0.85
Marinette County,Wisconsin,6.7,0.85
Davidson County,North Carolina,9.2,0.85
Chisago County,Minnesota,7.2,0.85
Luzerne County,Pennsylvania,11.3,0.85
Madison County,Montana,5.7,0.85
Brunswick County,North Carolina,7.7,0.85
Houghton County,Michigan,7.8,0.85
Edgecombe County,North Carolina,9.4,0.85
Montgomery County,Maryland,6.4,0.85
Todd County,Minnesota,8,0.85
Logan County,Kansas,7.7,0.85
Linn County,Kansas,9.2,0.85
Pope County,Illinois,7.4,0.85
Monroe County,Arkansas,9.8,0.85
Chesterfield County,South Carolina,10.5,0.86
Waushara County,Wisconsin,6.6,0.86
Nacogdoches County,Texas,9.3,0.86
Jasper County,Texas,7.9,0.86
Panola County,Texas,7.8,0.86
Cass County,Nebraska,9.6,0.86
Big Stone County,Minnesota,7.5,0.86
Anoka County,Minnesota,8.2,0.86
St. Clair County,Missouri,6.5,0.86
Hardin County,Illinois,6.9,0.86
Hall County,Georgia,8.5,0.86
Jefferson Davis Parish,Louisiana,7.5,0.86
Isanti County,Minnesota,7.6,0.86
Santa Rosa County,Florida,No Data,0.86
Harrisonburg City,Virginia,9.3,0.87
King George County,Virginia,8.4,0.87
Webster County,Missouri,7,0.87
Henry County,Missouri,9.7,0.87
Macon County,North Carolina,7.9,0.87
Sarpy County,Nebraska,8.5,0.87
Carter County,Montana,6.4,0.87
Wayne County,North Carolina,10.7,0.87
Reno County,Kansas,11.7,0.87
Clinton County,Missouri,8.2,0.87
Madison County,Florida,No Data,0.87
Hempstead County,Arkansas,10.7,0.87
Washington County,Rhode Island,6.9,0.88
Lincoln County,Wisconsin,5.9,0.88
Utah County,Utah,8.3,0.88
Rich County,Utah,6.8,0.88
Lauderdale County,Tennessee,9.4,0.88
Williamson County,Texas,8.2,0.88
Ellis County,Texas,9.6,0.88
Newberry County,South Carolina,11,0.88
Pettis County,Missouri,10.6,0.88
Mcdowell County,North Carolina,8.1,0.88
Caldwell County,Missouri,7.8,0.88
Bollinger County,Missouri,8.3,0.88
Rock County,Nebraska,8.4,0.88
Clare County,Michigan,8.7,0.88
Gilchrist County,Florida,No Data,0.88
Izard County,Arkansas,7.7,0.88
Baxter County,Arkansas,7.7,0.88
Limestone County,Alabama,9.7,0.88
Amherst County,Virginia,8.9,0.88
Broomfield County,Colorado,6.4,0.88
Caroline County,Virginia,9.4,0.89
Stafford County,Virginia,9.6,0.89
Crockett County,Tennessee,9,0.89
Wells County,North Dakota,6.9,0.89
Keya Paha County,Nebraska,7.6,0.89
Polk County,Nebraska,7,0.89
Holt County,Nebraska,8.1,0.89
Howard County,Missouri,8,0.89
Dallas County,Missouri,8.1,0.89
Bertie County,North Carolina,9.9,0.89
Benton County,Missouri,8.4,0.89
Mecklenburg County,North Carolina,9.8,0.89
Stone County,Missouri,7.4,0.89
Jeff Davis County,Georgia,7.2,0.89
Latah County,Idaho,8.4,0.89
Winston County,Alabama,7.3,0.89
St. Francis County,Arkansas,12.6,0.89
Marion County,South Carolina,10.4,0.89
Scott County,Mississippi,14.6,0.89
Culpeper County,Virginia,9.1,0.9
Price County,Wisconsin,7.4,0.9
Nueces County,Texas,8.7,0.9
Comal County,Texas,7.6,0.9
Macon County,Tennessee,8.7,0.9
Otsego County,Michigan,7.1,0.9
Hanson County,South Dakota,6.9,0.9
Essex County,New Jersey,9.6,0.9
San Mateo County,California,8.6,0.9
Miller County,Arkansas,9.6,0.9
Morris County,Kansas,6.9,0.9
Rock County,Minnesota,8,0.9
Pottawattamie County,Iowa,9.2,0.9
Otter Tail County,Minnesota,6.8,0.9
Talbot County,Georgia,8.9,0.9
Escambia County,Florida,No Data,0.9
Lafayette County,Florida,No Data,0.9
Floyd County,Georgia,11,0.9
Jackson County,Florida,No Data,0.9
Ashley County,Arkansas,11.2,0.9
Lincoln County,Kansas,7.8,0.9
Ouray County,Colorado,7,0.9
Osceola County,Florida,No Data,0.9
Polk County,Georgia,9.9,0.9
Boulder County,Colorado,5.3,0.9
Victoria County,Texas,8.5,0.91
Smith County,Texas,11,0.91
Brazoria County,Texas,10.6,0.91
Clark County,Wisconsin,7.8,0.91
Phelps County,Missouri,9.3,0.91
Kanabec County,Minnesota,7.3,0.91
Anderson County,Kansas,6.9,0.91
Lake County,Illinois,8.4,0.91
Dale County,Alabama,11.6,0.91
Tyler County,Texas,8.5,0.92
Houston County,Texas,8.7,0.92
Winn Parish,Louisiana,7.9,0.92
Hamblen County,Tennessee,9.6,0.92
Arthur County,Nebraska,7.1,0.92
Rockwall County,Texas,8.3,0.92
Iosco County,Michigan,9.3,0.92
Nemaha County,Kansas,6,0.92
Long County,Georgia,8.8,0.92
Dallas County,Arkansas,9.1,0.92
Franklin County,Iowa,8.2,0.92
Fredericksburg City,Virginia,8.1,0.93
Prince George County,Virginia,10.5,0.93
Meigs County,Tennessee,8.3,0.93
Mason County,Texas,7.1,0.93
Muskegon County,Michigan,10.6,0.93
Custer County,Nebraska,9.1,0.93
Boone County,Illinois,7,0.93
Bullock County,Alabama,9,0.93
Greene County,Georgia,8.7,0.93
Grand County,Colorado,6.6,0.93
Pierce County,Georgia,11,0.93
Assumption Parish,Louisiana,10,0.93
Wood County,Wisconsin,6.9,0.94
Hamlin County,South Dakota,7.3,0.94
Tarrant County,Texas,9.9,0.94
Stanton County,Nebraska,8.1,0.94
Lake County,Minnesota,7.4,0.94
Mobile County,Alabama,13.3,0.94
Ellsworth County,Kansas,8.3,0.94
Marion County,Kansas,8.1,0.94
Chase County,Kansas,6.8,0.94
Maries County,Missouri,7.8,0.94
Cass County,Illinois,7.1,0.94
Independence County,Arkansas,9.2,0.94
Caswell County,North Carolina,8.4,0.95
Leavenworth County,Kansas,11.9,0.95
Iron County,Missouri,7.9,0.95
Howell County,Missouri,10.3,0.95
Red Willow County,Nebraska,7.5,0.95
Sheridan County,Kansas,7.6,0.95
Franklin County,Florida,No Data,0.95
Conway County,Arkansas,10.5,0.95
Elbert County,Colorado,7.3,0.95
Brooks County,Texas,6.8,0.96
Philadelphia County,Pennsylvania,10.8,0.96
Marquette County,Wisconsin,7.1,0.96
Union County,New Jersey,8.5,0.96
Montmorency County,Michigan,7.7,0.96
Phelps County,Nebraska,8.1,0.96
Pottawatomie County,Kansas,9,0.96
Newaygo County,Michigan,7.4,0.96
Ransom County,North Dakota,7.9,0.96
Summit County,Colorado,5.1,0.96
Teton County,Idaho,6.9,0.96
San Augustine County,Texas,7.7,0.97
Cass County,Texas,7.8,0.97
Vance County,North Carolina,9.5,0.97
Lyon County,Minnesota,7.1,0.97
Granite County,Montana,7,0.97
Logan County,North Dakota,9.1,0.97
Otoe County,Nebraska,7.6,0.97
Wadena County,Minnesota,8,0.97
Miami County,Indiana,9.5,0.97
Fulton County,Indiana,8.9,0.97
Roscommon County,Michigan,7.1,0.97
Bonner County,Idaho,8.5,0.97
Randall County,Texas,8.5,0.98
Union County,South Dakota,8.2,0.98
Colleton County,South Carolina,12.2,0.98
Person County,North Carolina,7.7,0.98
Essex County,Massachusetts,7.5,0.98
Franklin County,Vermont,8.2,0.98
Wayne County,Nebraska,7.9,0.98
Onondaga County,New York,9.7,0.98
Durham County,North Carolina,9.2,0.98
Kings County,New York,9.8,0.98
Keith County,Nebraska,6.7,0.98
Ramsey County,Minnesota,8.8,0.98
Rapides Parish,Louisiana,13.3,0.98
Boone County,Arkansas,9.8,0.98
Van Buren County,Arkansas,10.3,0.98
Greeley County,Kansas,7,0.98
Gregg County,Texas,8.5,0.99
Johnson County,Texas,10.4,0.99
Jackson County,Texas,7.4,0.99
Bee County,Texas,7.4,0.99
