County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
West Baton Rouge Parish,Louisiana,8.7,0.26
Clayton County,Iowa,8.2,0.26
Hart County,Kentucky,7.9,0.26
Jay County,Indiana,7.6,0.26
Effingham County,Illinois,6.7,0.26
Harlan County,Kentucky,9.6,0.26
Edgar County,Illinois,7.2,0.26
Boone County,Kentucky,9.5,0.26
Sharkey County,Mississippi,8.9,0.26
Seminole County,Georgia,7.9,0.26
Mercer County,West Virginia,13.4,0.27
Preston County,West Virginia,10.9,0.27
Wirt County,West Virginia,7.5,0.27
Hampshire County,West Virginia,8.8,0.27
Williamson County,Tennessee,6.7,0.27
Coahoma County,Mississippi,11.6,0.27
Ottawa County,Ohio,8.4,0.27
Mercer County,Pennsylvania,7.6,0.27
Darke County,Ohio,7.4,0.27
Jefferson County,Ohio,10.3,0.27
Cuyahoga County,Ohio,9.9,0.27
Auglaize County,Ohio,11,0.27
Columbiana County,Ohio,10,0.27
Montgomery County,Ohio,11.3,0.27
Hamilton County,New York,7.7,0.27
Marion County,Missouri,8.7,0.27
St. James Parish,Louisiana,11,0.27
Lincoln County,Mississippi,12.2,0.27
Clark County,Missouri,7.5,0.27
Marion County,Iowa,8.8,0.27
Shelby County,Illinois,7.1,0.27
East Baton Rouge Parish,Louisiana,10.9,0.27
Fulton County,Georgia,9,0.27
Nelson County,Kentucky,8.8,0.27
Sangamon County,Illinois,7.5,0.27
Muhlenberg County,Kentucky,9.7,0.27
Mccormick County,South Carolina,9.3,0.27
Rutland County,Vermont,7,0.28
Raleigh County,West Virginia,12.3,0.28
Pocahontas County,West Virginia,8.5,0.28
Dickenson County,Virginia,8.8,0.28
Windsor County,Vermont,7.1,0.28
Prentiss County,Mississippi,9.9,0.28
Northumberland County,Virginia,7.1,0.28
Montgomery County,Pennsylvania,6.9,0.28
Ritchie County,West Virginia,8.6,0.28
Marion County,West Virginia,11.6,0.28
Montour County,Pennsylvania,7.2,0.28
Pike County,Missouri,8,0.28
Tioga County,New York,9.6,0.28
Smith County,Mississippi,10,0.28
Washington County,Ohio,10.3,0.28
Hamilton County,Ohio,10.6,0.28
Linn County,Iowa,8.2,0.28
Marengo County,Alabama,10.5,0.28
Monroe County,Iowa,7,0.28
Grayson County,Kentucky,9.8,0.28
Hopkins County,Kentucky,11.5,0.28
