County_FIPS,County,State,Overall SVI-2018-Percentile
5133,Sevier County,Arkansas,0.7675
5135,Sharp County,Arkansas,0.6191
5123,St. Francis County,Arkansas,0.9691
5137,Stone County,Arkansas,0.5102
5139,Union County,Arkansas,0.8054
5141,Van Buren County,Arkansas,0.7226
5143,Washington County,Arkansas,0.6745
5145,White County,Arkansas,0.7446
5147,Woodruff County,Arkansas,0.849
5149,Yell County,Arkansas,0.8783
6001,Alameda County,California,0.4701
6003,Alpine County,California,0.7287
6005,Amador County,California,0.5334
6007,Butte County,California,0.8064
6009,Calaveras County,California,0.235
6011,Colusa County,California,0.7436
6013,Contra Costa County,California,0.4057
6015,Del Norte County,California,0.9713
6017,El Dorado County,California,0.1838
6019,Fresno County,California,0.9611
6021,Glenn County,California,0.8895
6023,Humboldt County,California,0.7605
6025,Imperial County,California,0.9978
6027,Inyo County,California,0.5701
6029,Kern County,California,0.9659
6031,Kings County,California,0.9707
6033,Lake County,California,0.9178
6035,Lassen County,California,0.5997
6037,Los Angeles County,California,0.7682
6039,Madera County,California,0.9541
6041,Marin County,California,0.2701
6043,Mariposa County,California,0.5293
6045,Mendocino County,California,0.8818
6047,Merced County,California,0.9717
6049,Modoc County,California,0.7516
6051,Mono County,California,0.1408
6053,Monterey County,California,0.799
6055,Napa County,California,0.5051
6057,Nevada County,California,0.2045
6059,Orange County,California,0.4191
6061,Placer County,California,0.1519
6063,Plumas County,California,0.2653
6065,Riverside County,California,0.7939
6067,Sacramento County,California,0.7338
6069,San Benito County,California,0.5245
6071,San Bernardino County,California,0.901
6073,San Diego County,California,0.5596
6075,San Francisco County,California,0.3911
6077,San Joaquin County,California,0.8892
6079,San Luis Obispo County,California,0.3739
6081,San Mateo County,California,0.265
6083,Santa Barbara County,California,0.7111
6085,Santa Clara County,California,0.3557
6087,Santa Cruz County,California,0.543
6089,Shasta County,California,0.7022
6091,Sierra County,California,0.0452
6093,Siskiyou County,California,0.7223
6095,Solano County,California,0.5911
6097,Sonoma County,California,0.4035
