No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
36043,Herkimer County,New York,8.2,5.4
50009,Essex County,Vermont,9.2,5.4
27063,Jackson County,Minnesota,5.9,5.4
27061,Itasca County,Minnesota,8.4,5.4
27013,Blue Earth County,Minnesota,6.7,5.4
34015,Gloucester County,New Jersey,No Data,5.4
26045,Eaton County,Michigan,7.2,5.4
36077,Otsego County,New York,6.3,5.4
36071,Orange County,New York,7.2,5.4
36061,New York County,New York,5.2,5.4
19097,Jackson County,Iowa,6.9,5.4
19169,Story County,Iowa,7.5,5.4
19153,Polk County,Iowa,7.5,5.4
21029,Bullitt County,Kentucky,8.2,5.4
26055,Grand Traverse County,Michigan,5.6,5.4
54073,Pleasants County,West Virginia,5.4,5.5
42045,Delaware County,Pennsylvania,9.6,5.5
51735,Poquoson City,Virginia,6.5,5.5
27079,Le Sueur County,Minnesota,6.8,5.5
36013,Chautauqua County,New York,9.7,5.5
27075,Lake County,Minnesota,3.5,5.5
26155,Shiawassee County,Michigan,5.8,5.5
27091,Martin County,Minnesota,7.5,5.5
19059,Dickinson County,Iowa,7.1,5.5
36035,Fulton County,New York,11.5,5.5
19045,Clinton County,Iowa,10.2,5.5
24003,Anne Arundel County,Maryland,7.2,5.5
27145,Stearns County,Minnesota,5.1,5.5
36057,Montgomery County,New York,12.9,5.5
26103,Marquette County,Michigan,7.3,5.5
27017,Carlton County,Minnesota,7.9,5.5
36075,Oswego County,New York,8.6,5.5
21179,Nelson County,Kentucky,9.1,5.5
17173,Shelby County,Illinois,9.9,5.5
19145,Page County,Iowa,10.8,5.5
19055,Delaware County,Iowa,7.8,5.5
19103,Johnson County,Iowa,6.3,5.5
17107,Logan County,Illinois,15.1,5.5
09003,Hartford County,Connecticut,7.2,5.5
19087,Henry County,Iowa,9.6,5.5
17147,Piatt County,Illinois,6.8,5.5
44007,Providence County,Rhode Island,8.3,5.6
55039,Fond Du Lac County,Wisconsin,5.1,5.6
36021,Columbia County,New York,7,5.6
42029,Chester County,Pennsylvania,6.5,5.6
19001,Adair County,Iowa,7.9,5.6
27121,Pope County,Minnesota,3.9,5.6
31153,Sarpy County,Nebraska,8,5.6
36025,Delaware County,New York,6.8,5.6
34027,Morris County,New Jersey,No Data,5.6
27135,Roseau County,Minnesota,6.6,5.6
21215,Spencer County,Kentucky,6.9,5.6
19123,Mahaska County,Iowa,5.3,5.6
17083,Jersey County,Illinois,8.7,5.6
17179,Tazewell County,Illinois,6.7,5.6
19105,Jones County,Iowa,10,5.6
19071,Fremont County,Iowa,6.1,5.6
19085,Harrison County,Iowa,10,5.6
06005,Amador County,California,7.7,5.6
55117,Sheboygan County,Wisconsin,5,5.7
36101,Steuben County,New York,11.4,5.7
34037,Sussex County,New Jersey,No Data,5.7
36089,St. Lawrence County,New York,9.4,5.7
41005,Clackamas County,Oregon,6.9,5.7
27009,Benton County,Minnesota,5.8,5.7
36117,Wayne County,New York,11.4,5.7
21145,Mccracken County,Kentucky,10.1,5.7
19025,Calhoun County,Iowa,9.7,5.7
26121,Muskegon County,Michigan,10.2,5.7
19081,Hancock County,Iowa,6.4,5.7
26015,Barry County,Michigan,9,5.7
19109,Kossuth County,Iowa,12.8,5.7
06095,Solano County,California,9,5.7
55093,Pierce County,Wisconsin,7.1,5.8
42021,Cambria County,Pennsylvania,12.9,5.8
55027,Dodge County,Wisconsin,7,5.8
47187,Williamson County,Tennessee,6.9,5.8
51107,Loudoun County,Virginia,5,5.8
39173,Wood County,Ohio,10.7,5.8
42005,Armstrong County,Pennsylvania,16.3,5.8
26003,Alger County,Michigan,9,5.8
24037,St. Mary&#39;s County,Maryland,9.5,5.8
21063,Elliott County,Kentucky,3.9,5.8
19189,Winnebago County,Iowa,5,5.8
23005,Cumberland County,Maine,5.1,5.8
26057,Gratiot County,Michigan,8.3,5.8
19133,Monona County,Iowa,9.6,5.8
27097,Morrison County,Minnesota,7.6,5.8
36115,Washington County,New York,12.6,5.8
19041,Clay County,Iowa,6.3,5.8
21049,Clark County,Kentucky,6.1,5.8
19023,Butler County,Iowa,7.3,5.8
17073,Henry County,Illinois,7.2,5.8
19149,Plymouth County,Iowa,6,5.8
17001,Adams County,Illinois,10.1,5.8
17043,Dupage County,Illinois,6.2,5.8
21117,Kenton County,Kentucky,10.3,5.8
18011,Boone County,Indiana,6.2,5.8
27161,Waseca County,Minnesota,8.6,5.8
51085,Hanover County,Virginia,7.5,5.9
51179,Stafford County,Virginia,8,5.9
55097,Portage County,Wisconsin,5,5.9
19187,Webster County,Iowa,7.5,5.9
36039,Greene County,New York,8.5,5.9
41003,Benton County,Oregon,5.6,5.9
27077,Lake Of The Woods County,Minnesota,6.1,5.9
31081,Hamilton County,Nebraska,7.3,5.9
31177,Washington County,Nebraska,6.9,5.9
36033,Franklin County,New York,14.1,5.9
17119,Madison County,Illinois,11.4,5.9
21019,Boyd County,Kentucky,15.6,5.9
21213,Simpson County,Kentucky,9.8,5.9
19079,Hamilton County,Iowa,6.3,5.9
21163,Meade County,Kentucky,8.7,5.9
18063,Hendricks County,Indiana,8.4,5.9
19135,Monroe County,Iowa,6.2,5.9
19141,O&#39;brien County,Iowa,6.5,5.9
19139,Muscatine County,Iowa,8.2,5.9
19035,Cherokee County,Iowa,7.3,5.9
19073,Greene County,Iowa,9.7,5.9
26145,Saginaw County,Michigan,10.3,5.9
17111,Mchenry County,Illinois,8.2,5.9
10003,New Castle County,Delaware,7.3,5.9
17023,Clark County,Illinois,4.8,5.9
19065,Fayette County,Iowa,6.8,5.9
06035,Lassen County,California,9.5,5.9
54079,Putnam County,West Virginia,7.2,6
55141,Wood County,Wisconsin,7,6
55035,Eau Claire County,Wisconsin,4.5,6
51095,James City County,Virginia,8.1,6
42037,Columbia County,Pennsylvania,10.4,6
41067,Washington County,Oregon,8.1,6
42131,Wyoming County,Pennsylvania,9.9,6
36119,Westchester County,New York,5.7,6
36031,Essex County,New York,7.6,6
27073,Lac Qui Parle County,Minnesota,8.4,6
26017,Bay County,Michigan,9.1,6
34025,Monmouth County,New Jersey,No Data,6
27123,Ramsey County,Minnesota,7.7,6
