County_FIPS,County,State,Asian-2022-obesity%
20075,Hamilton County,Kansas,0.29
21087,Green County,Kentucky,0.29
1007,Bibb County,Alabama,0.29
54001,Barbour County,West Virginia,0.3
54073,Pleasants County,West Virginia,0.3
54007,Braxton County,West Virginia,0.3
54071,Pendleton County,West Virginia,0.3
48327,Menard County,Texas,0.3
46091,Marshall County,South Dakota,0.3
47057,Grainger County,Tennessee,0.3
31167,Stanton County,Nebraska,0.3
55041,Forest County,Wisconsin,0.3
51105,Lee County,Virginia,0.3
31007,Banner County,Nebraska,0.3
29133,Mississippi County,Missouri,0.3
31171,Thomas County,Nebraska,0.3
31035,Clay County,Nebraska,0.3
18153,Sullivan County,Indiana,0.3
20131,Nemaha County,Kansas,0.3
16023,Butte County,Idaho,0.3
21057,Cumberland County,Kentucky,0.3
21055,Crittenden County,Kentucky,0.3
18175,Washington County,Indiana,0.3
42005,Armstrong County,Pennsylvania,0.31
56011,Crook County,Wyoming,0.31
31087,Hitchcock County,Nebraska,0.31
38103,Wells County,North Dakota,0.31
26135,Oscoda County,Michigan,0.31
28137,Tate County,Mississippi,0.31
19133,Monona County,Iowa,0.31
18115,Ohio County,Indiana,0.31
17059,Gallatin County,Illinois,0.31
17057,Fulton County,Illinois,0.31
20017,Chase County,Kansas,0.31
21043,Carter County,Kentucky,0.31
17067,Hancock County,Illinois,0.31
22107,Tensas Parish,Louisiana,0.31
31041,Custer County,Nebraska,0.31
1011,Bullock County,Alabama,0.31
18165,Vermillion County,Indiana,0.31
21071,Floyd County,Kentucky,0.31
21169,Metcalfe County,Kentucky,0.31
54093,Tucker County,West Virginia,0.32
54027,Hampshire County,West Virginia,0.32
39121,Noble County,Ohio,0.32
38075,Renville County,North Dakota,0.32
47129,Morgan County,Tennessee,0.32
48023,Baylor County,Texas,0.32
47007,Bledsoe County,Tennessee,0.32
47181,Wayne County,Tennessee,0.32
46017,Buffalo County,South Dakota,0.32
35021,Harding County,New Mexico,0.32
22037,East Feliciana Parish,Louisiana,0.32
29203,Shannon County,Missouri,0.32
21219,Todd County,Kentucky,0.32
20101,Lane County,Kansas,0.32
21085,Grayson County,Kentucky,0.32
22081,Red River Parish,Louisiana,0.32
21191,Pendleton County,Kentucky,0.32
29186,Ste. Genevieve County,Missouri,0.32
17149,Pike County,Illinois,0.32
1131,Wilcox County,Alabama,0.32
54099,Wayne County,West Virginia,0.33
46009,Bon Homme County,South Dakota,0.33
54019,Fayette County,West Virginia,0.33
47133,Overton County,Tennessee,0.33
