County_FIPS,County,State,obesity-2021-Percentage,White-2022-obesity%
1101,Montgomery County,Alabama,38.5,30.34
6029,Kern County,California,33.4,30.44
35061,Valencia County,New Mexico,34.7,30.55
48013,Atascosa County,Texas,17.7,30.56
48189,Hale County,Texas,18.5,30.62
48495,Winkler County,Texas,17.7,30.63
22095,St. John The Baptist Parish,Louisiana,36.9,30.68
35025,Lea County,New Mexico,40.6,31.01
6039,Madera County,California,33.7,31.03
48271,Kinney County,Texas,17.3,31.04
6065,Riverside County,California,33.6,31.31
2185,North Slope Borough,Alaska,34.6,31.32
13037,Calhoun County,Georgia,19.6,31.34
48369,Parmer County,Texas,19.4,31.4
53001,Adams County,Washington,31.6,31.52
28055,Issaquena County,Mississippi,16.9,31.66
48017,Bailey County,Texas,17.5,31.67
22071,Orleans Parish,Louisiana,28.5,31.77
13135,Gwinnett County,Georgia,29.5,31.96
46007,Bennett County,South Dakota,40.2,32.1
12039,Gadsden County,Florida,No Data,32.17
13245,Richmond County,Georgia,38.1,32.19
13097,Douglas County,Georgia,29.3,32.23
37091,Hertford County,North Carolina,28,32.28
2282,Yakutat City and Borough,Alaska,19.8,32.29
30085,Roosevelt County,Montana,37.4,32.31
45089,Williamsburg County,South Carolina,44,32.41
48435,Sutton County,Texas,17.1,32.48
28011,Bolivar County,Mississippi,37.2,32.51
6011,Colusa County,California,18.4,32.58
48255,Karnes County,Texas,16.8,32.67
48115,Dawson County,Texas,17.1,32.81
24017,Charles County,Maryland,40.7,32.91
15005,Kalawao County,Hawaii,17.1,32.93
35053,Socorro County,New Mexico,28,32.98
12011,Broward County,Florida,No Data,33.01
13151,Henry County,Georgia,36.6,33.09
48079,Cochran County,Texas,17.6,33.21
28069,Kemper County,Mississippi,24.3,33.33
45075,Orangeburg County,South Carolina,39.8,33.34
22065,Madison Parish,Louisiana,19.2,33.35
13193,Macon County,Georgia,22.3,33.38
5107,Phillips County,Arkansas,32.7,33.61
45061,Lee County,South Carolina,35.1,33.65
42101,Philadelphia County,Pennsylvania,29,33.9
47157,Shelby County,Tennessee,34.1,34.19
31173,Thurston County,Nebraska,46.3,34.32
6095,Solano County,California,28.5,34.41
28163,Yazoo County,Mississippi,24.4,34.45
37015,Bertie County,North Carolina,24,34.65
35005,Chaves County,New Mexico,35.5,35.04
8023,Costilla County,Colorado,19.4,35.17
48153,Floyd County,Texas,17.6,35.3
51081,Greensville County,Virginia,24.4,35.37
37065,Edgecombe County,North Carolina,19.3,35.4
13021,Bibb County,Georgia,36.2,35.46
28135,Tallahatchie County,Mississippi,27.7,35.62
35045,San Juan County,New Mexico,33.6,35.67
48169,Garza County,Texas,17.1,35.68
51650,Hampton City,Virginia,37,35.73
48475,Ward County,Texas,18.4,35.89
35055,Taos County,New Mexico,21.6,36.01
13243,Randolph County,Georgia,21,36.02
51740,Portsmouth City,Virginia,44.3,36.05
46095,Mellette County,South Dakota,33.6,36.1
48055,Caldwell County,Texas,30.2,36.31
13061,Clay County,Georgia,19.1,36.34
48445,Terry County,Texas,16.9,36.53
45009,Bamberg County,South Carolina,33.1,36.54
51683,Manassas City,Virginia,22.4,36.59
13273,Terrell County,Georgia,18.4,36.59
48279,Lamb County,Texas,16.9,36.65
28001,Adams County,Mississippi,39.4,36.65
6081,San Mateo County,California,19.9,36.71
36047,Kings County,New York,25.7,36.71
46071,Jackson County,South Dakota,29.5,36.72
20057,Ford County,Kansas,40,36.87
35023,Hidalgo County,New Mexico,18.3,36.95
48107,Crosby County,Texas,17.5,36.99
6099,Stanislaus County,California,34.7,37.01
37093,Hoke County,North Carolina,31.6,37.02
28025,Clay County,Mississippi,43.3,37.06
48003,Andrews County,Texas,18.2,37.1
35001,Bernalillo County,New Mexico,27.9,37.11
48409,San Patricio County,Texas,39.9,37.2
13265,Taliaferro County,Georgia,17,37.31
48245,Jefferson County,Texas,37.8,37.37
11001,District Of Columbia,District of Columbia,24.2,37.53
34039,Union County,New Jersey,27.4,37.63
5069,Jefferson County,Arkansas,40.1,37.71
37181,Vance County,North Carolina,23.1,37.77
13179,Liberty County,Georgia,32.8,37.81
37083,Halifax County,North Carolina,28.8,37.86
6075,San Francisco County,California,16.6,37.89
28065,Jefferson Davis County,Mississippi,33.8,37.92
6059,Orange County,California,23.7,38
13215,Muscogee County,Georgia,37.9,38
45067,Marion County,South Carolina,31.4,38.01
20055,Finney County,Kansas,37.9,38.18
51620,Franklin City,Virginia,21.1,38.21
13121,Fulton County,Georgia,26.9,38.26
40001,Adair County,Oklahoma,26.6,38.59
12095,Orange County,Florida,No Data,38.59
48461,Upton County,Texas,17.2,38.64
53021,Franklin County,Washington,36.6,38.69
2060,Bristol Bay Borough,Alaska,33.7,38.73
34031,Passaic County,New Jersey,29.1,38.82
32003,Clark County,Nevada,30.9,38.84
34023,Middlesex County,New Jersey,26.3,38.86
20209,Wyandotte County,Kansas,41.1,38.9
5017,Chicot County,Arkansas,30.9,38.9
45069,Marlboro County,South Carolina,32.5,38.91
5123,St. Francis County,Arkansas,40.5,39.06
37185,Warren County,North Carolina,20.8,39.09
51153,Prince William County,Virginia,34.5,39.14
13261,Sumter County,Georgia,26.8,39.17
5035,Crittenden County,Arkansas,37.5,39.31
48391,Refugio County,Texas,16.7,39.41
51590,Danville City,Virginia,28.7,39.56
45039,Fairfield County,South Carolina,28.8,39.63
48473,Waller County,Texas,18.2,39.65
13217,Newton County,Georgia,36.2,39.7
37131,Northampton County,North Carolina,17.9,39.74
48357,Ochiltree County,Texas,17.1,39.76
48177,Gonzales County,Texas,19.1,39.76
6013,Contra Costa County,California,24.5,39.81
13301,Warren County,Georgia,20.5,39.83
48443,Terrell County,Texas,17.7,39.83
1065,Hale County,Alabama,24.3,40.02
53077,Yakima County,Washington,38,40.03
45079,Richland County,South Carolina,35.2,40.36
51700,Newport News City,Virginia,39.8,40.41
37051,Cumberland County,North Carolina,37.1,40.52
37165,Scotland County,North Carolina,28.9,40.77
48329,Midland County,Texas,22.5,40.78
48325,Medina County,Texas,24.3,40.8
48057,Calhoun County,Texas,21.4,40.83
51183,Sussex County,Virginia,30.3,40.87
38005,Benson County,North Dakota,34,40.92
35043,Sandoval County,New Mexico,30.7,40.94
22107,Tensas Parish,Louisiana,17.5,40.98
5077,Lee County,Arkansas,25.5,40.99
17031,Cook County,Illinois,28.9,41.08
45049,Hampton County,South Carolina,30,41.22
13263,Talbot County,Georgia,18.2,41.29
40139,Texas County,Oklahoma,35.9,41.35
24031,Montgomery County,Maryland,22.8,41.4
48321,Matagorda County,Texas,23.7,41.44
6067,Sacramento County,California,30.8,41.45
51025,Brunswick County,Virginia,29.9,41.5
48413,Schleicher County,Texas,17.6,41.54
51670,Hopewell City,Virginia,29.2,41.67
28113,Pike County,Mississippi,39,41.8
48095,Concho County,Texas,17,41.83
51690,Martinsville City,Virginia,19,42.07
13303,Washington County,Georgia,24.7,42.08
48039,Brazoria County,Texas,37.6,42.09
48437,Swisher County,Texas,17.4,42.15
13093,Dooly County,Georgia,20.6,42.2
6083,Santa Barbara County,California,26.2,42.29
6101,Sutter County,California,24,42.3
13163,Jefferson County,Georgia,24.4,42.32
48481,Wharton County,Texas,19.1,42.33
48469,Victoria County,Texas,29.3,42.36
51710,Norfolk City,Virginia,37.4,42.46
48449,Titus County,Texas,17.9,42.51
48375,Potter County,Texas,19.5,42.54
48439,Tarrant County,Texas,33.8,42.76
4017,Navajo County,Arizona,33.3,42.95
48027,Bell County,Texas,37.8,42.98
6111,Ventura County,California,24.3,43
35015,Eddy County,New Mexico,39.7,43.03
48137,Edwards County,Texas,17.5,43.04
13099,Early County,Georgia,20.8,43.11
30005,Blaine County,Montana,36.5,43.12
5041,Desha County,Arkansas,27.6,43.18
31043,Dakota County,Nebraska,38,43.2
51760,Richmond City,Virginia,27.3,43.27
22017,Caddo Parish,Louisiana,39.9,43.34
6073,San Diego County,California,23.8,43.38
22033,East Baton Rouge Parish,Louisiana,33.6,43.39
35049,Santa Fe County,New Mexico,22.4,43.41
2198,Prince of Wales-Hyder Census Area,Alaska,28,43.42
37063,Durham County,North Carolina,29.1,43.55
27087,Mahnomen County,Minnesota,27,43.83
37187,Washington County,North Carolina,18,43.85
34011,Cumberland County,New Jersey,37.7,43.88
37007,Anson County,North Carolina,19.6,43.92
1091,Marengo County,Alabama,34,43.93
47075,Haywood County,Tennessee,26.3,43.95
48219,Hockley County,Texas,17.2,43.98
6113,Yolo County,California,24.3,43.99
4011,Greenlee County,Arizona,21.5,44.03
35009,Curry County,New Mexico,30.3,44.04
28029,Copiah County,Mississippi,28.8,44.06
13225,Peach County,Georgia,24,44.08
1113,Russell County,Alabama,34.2,44.37
45085,Sumter County,South Carolina,39.3,44.38
28061,Jasper County,Mississippi,35.1,44.41
25025,Suffolk County,Massachusetts,22.6,44.6
51036,Charles City County,Virginia,18.1,44.71
37119,Mecklenburg County,North Carolina,30.4,44.87
45033,Dillon County,South Carolina,27.1,44.88
22091,St. Helena Parish,Louisiana,19.3,44.97
48335,Mitchell County,Texas,17.2,45.05
34021,Mercer County,New Jersey,23.9,45.2
1005,Barbour County,Alabama,30.3,45.27
48227,Howard County,Texas,18.5,45.29
37079,Greene County,North Carolina,20.8,45.34
8003,Alamosa County,Colorado,27.8,45.39
49037,San Juan County,Utah,32.1,45.43
36061,New York County,New York,18.9,45.46
48111,Dallam County,Texas,17.5,45.49
37195,Wilson County,North Carolina,25.7,45.58
2105,Hoonah-Angoon Census Area,Alaska,25.2,45.74
12049,Hardee County,Florida,No Data,45.79
29510,St. Louis City,Missouri,35.6,45.81
40021,Cherokee County,Oklahoma,31.5,45.82
22027,Claiborne Parish,Louisiana,21.3,45.88
13271,Telfair County,Georgia,29.8,45.95
8021,Conejos County,Colorado,18.7,46
12057,Hillsborough County,Florida,No Data,46.01
35017,Grant County,New Mexico,28.5,46.07
13205,Mitchell County,Georgia,25.4,46.13
20067,Grant County,Kansas,23.2,46.13
48317,Martin County,Texas,17.8,46.2
48043,Brewster County,Texas,16.8,46.25
35007,Colfax County,New Mexico,28.8,46.43
31037,Colfax County,Nebraska,35.8,46.67
8001,Adams County,Colorado,31.9,46.8
28107,Panola County,Mississippi,36.2,46.92
35035,Otero County,New Mexico,30.9,46.95
13051,Chatham County,Georgia,29.8,47.11
28149,Warren County,Mississippi,28.2,47.13
48195,Hansford County,Texas,17.5,47.16
2150,Kodiak Island Borough,Alaska,28.9,47.27
51800,Suffolk City,Virginia,36.5,47.35
37127,Nash County,North Carolina,30.2,47.42
37081,Guilford County,North Carolina,34.9,47.46
24027,Howard County,Maryland,26.4,47.54
48021,Bastrop County,Texas,31.1,47.64
28079,Leake County,Mississippi,32.3,47.65
48187,Guadalupe County,Texas,33.6,47.7
35037,Quay County,New Mexico,26.6,47.82
48453,Travis County,Texas,27.1,47.91
37107,Lenoir County,North Carolina,27.9,47.91
22067,Morehouse Parish,Louisiana,22.7,48.05
22047,Iberville Parish,Louisiana,25.9,48.05
45053,Jasper County,South Carolina,29.7,48.14
13033,Burke County,Georgia,30,48.36
28123,Scott County,Mississippi,39.3,48.41
28093,Marshall County,Mississippi,35,48.46
51059,Fairfax County,Virginia,22.5,48.52
6021,Glenn County,California,18,48.54
35057,Torrance County,New Mexico,26.5,48.6
13081,Crisp County,Georgia,22.2,48.62
35041,Roosevelt County,New Mexico,32,48.79
1073,Jefferson County,Alabama,37.4,48.79
13087,Decatur County,Georgia,29.1,48.89
26163,Wayne County,Michigan,35.4,48.98
28017,Chickasaw County,Mississippi,32,49.04
55079,Milwaukee County,Wisconsin,36.4,49.06
13007,Baker County,Georgia,19.8,49.21
28159,Winston County,Mississippi,34.2,49.27
1035,Conecuh County,Alabama,24.7,49.44
13067,Cobb County,Georgia,28.1,49.59
37163,Sampson County,North Carolina,33.7,49.64
13307,Webster County,Georgia,17.5,49.66
48145,Falls County,Texas,17.4,49.76
45027,Clarendon County,South Carolina,31.6,49.76
22093,St. James Parish,Louisiana,28.8,49.77
48311,Mcmullen County,Texas,18.5,49.83
28087,Lowndes County,Mississippi,38.1,49.85
48297,Live Oak County,Texas,18.6,49.87
13239,Quitman County,Georgia,17.2,49.89
13165,Jenkins County,Georgia,21.3,49.97
6055,Napa County,California,17.6,49.97
45041,Florence County,South Carolina,38,49.99
48415,Scurry County,Texas,17.2,50.04
37061,Duplin County,North Carolina,32.7,50.11
4019,Pima County,Arizona,30.1,50.11
48257,Kaufman County,Texas,27,50.17
6115,Yuba County,California,21.3,50.22
5119,Pulaski County,Arkansas,34.9,50.24
12031,Duval County,Florida,No Data,50.4
22051,Jefferson Parish,Louisiana,34.6,50.48
48451,Tom Green County,Texas,26.9,50.51
35011,De Baca County,New Mexico,20.7,50.62
8101,Pueblo County,Colorado,36.3,50.62
51087,Henrico County,Virginia,34.7,50.7
1013,Butler County,Alabama,27.6,50.77
28075,Lauderdale County,Mississippi,37.9,50.86
48421,Sherman County,Texas,17,50.88
48209,Hays County,Texas,25.2,51.02
35021,Harding County,New Mexico,17.1,51.11
45011,Barnwell County,South Carolina,39.3,51.13
48303,Lubbock County,Texas,36.8,51.14
48305,Lynn County,Texas,19.8,51.19
37191,Wayne County,North Carolina,34.8,51.27
40057,Harmon County,Oklahoma,17.8,51.28
48085,Collin County,Texas,24.3,51.29
4009,Graham County,Arizona,32.1,51.4
53025,Grant County,Washington,33.3,51.44
36119,Westchester County,New York,24.1,51.47
51510,Alexandria City,Virginia,24.2,51.48
1025,Clarke County,Alabama,32.4,51.49
34035,Somerset County,New Jersey,24.6,51.51
13317,Wilkes County,Georgia,19.3,51.6
13185,Lowndes County,Georgia,36.8,51.6
8105,Rio Grande County,Colorado,20.9,51.81
35059,Union County,New Mexico,19.6,51.83
18097,Marion County,Indiana,35.5,51.84
51600,Fairfax City,Virginia,22.3,51.91
24039,Somerset County,Maryland,39,52.02
37117,Martin County,North Carolina,20.1,52.03
8025,Crowley County,Colorado,18,52.03
5039,Dallas County,Arkansas,17.2,52.04
51107,Loudoun County,Virginia,28.2,52.13
28007,Attala County,Mississippi,31.8,52.16
13009,Baldwin County,Georgia,31.5,52.18
22125,West Feliciana Parish,Louisiana,17.8,52.19
12105,Polk County,Florida,No Data,52.19
12099,Palm Beach County,Florida,No Data,52.32
28097,Montgomery County,Mississippi,32.3,52.34
48291,Liberty County,Texas,20.2,52.38
48349,Navarro County,Texas,22.4,52.42
18089,Lake County,Indiana,40.5,52.43
22069,Natchitoches Parish,Louisiana,29.2,52.44
48191,Hall County,Texas,17,52.46
48353,Nolan County,Texas,18,52.51
8089,Otero County,Colorado,31.7,52.55
12111,St. Lucie County,Florida,No Data,52.59
34003,Bergen County,New Jersey,23.8,52.67
37147,Pitt County,North Carolina,38.8,52.71
46085,Lyman County,South Dakota,21.1,52.74
13153,Houston County,Georgia,36.9,52.76
5057,Hempstead County,Arkansas,31.5,52.82
48313,Madison County,Texas,17.8,52.87
28147,Walthall County,Mississippi,33.8,52.89
51149,Prince George County,Virginia,36.7,52.91
4013,Maricopa County,Arizona,29.7,53
13189,Mcduffie County,Georgia,27.1,53.03
24005,Baltimore County,Maryland,34.2,53.07
37177,Tyrrell County,North Carolina,17.7,53.14
28043,Grenada County,Mississippi,35,53.14
22121,West Baton Rouge Parish,Louisiana,24.3,53.18
48063,Camp County,Texas,18.8,53.2
1107,Pickens County,Alabama,24.7,53.27
48165,Gaines County,Texas,18.7,53.33
22097,St. Landry Parish,Louisiana,33.4,53.35
16033,Clark County,Idaho,18.4,53.35
1099,Monroe County,Alabama,28,53.37
30087,Rosebud County,Montana,32.1,53.41
48123,Dewitt County,Texas,17,53.47
48139,Ellis County,Texas,31.1,53.49
13003,Atkinson County,Georgia,20.4,53.57
13071,Colquitt County,Georgia,32.3,53.64
5095,Monroe County,Arkansas,23.2,53.72
34007,Camden County,New Jersey,30.5,53.73
22061,Lincoln Parish,Louisiana,25.8,53.77
4005,Coconino County,Arizona,23.3,53.77
45031,Darlington County,South Carolina,35.5,53.78
10003,New Castle County,Delaware,33.4,53.79
5011,Bradley County,Arkansas,26.2,53.79
13287,Turner County,Georgia,21.2,53.79
13277,Tift County,Georgia,35.4,53.81
20187,Stanton County,Kansas,20.6,53.85
40109,Oklahoma County,Oklahoma,35.9,53.88
8071,Las Animas County,Colorado,31.1,53.88
40101,Muskogee County,Oklahoma,36.6,53.89
13017,Ben Hill County,Georgia,29.8,53.92
19021,Buena Vista County,Iowa,29.4,54
47069,Hardeman County,Tennessee,31.6,54.03
22013,Bienville Parish,Louisiana,19,54.09
48089,Colorado County,Texas,17.8,54.15
51057,Essex County,Virginia,23.6,54.3
48121,Denton County,Texas,29.2,54.33
37139,Pasquotank County,North Carolina,27.1,54.37
51179,Stafford County,Virginia,35,54.38
13183,Long County,Georgia,17.5,54.4
12027,Desoto County,Florida,No Data,54.42
48487,Wilbarger County,Texas,20.4,54.43
1017,Chambers County,Alabama,32.6,54.45
51135,Nottoway County,Virginia,21.9,54.47
48493,Wilson County,Texas,20.6,54.47
13027,Brooks County,Georgia,26.3,54.51
4021,Pinal County,Arizona,36.3,54.57
4003,Cochise County,Arizona,31.4,54.58
48491,Williamson County,Texas,30,54.59
47113,Madison County,Tennessee,39.6,54.59
48309,Mclennan County,Texas,29.5,54.6
5103,Ouachita County,Arkansas,29.4,54.61
48087,Collingsworth County,Texas,17.9,54.63
45017,Calhoun County,South Carolina,29.2,54.74
37017,Bladen County,North Carolina,32,54.74
40031,Comanche County,Oklahoma,41.9,54.75
13255,Spalding County,Georgia,27.2,54.76
12073,Leon County,Florida,No Data,54.76
48041,Brazos County,Texas,29.3,54.79
28089,Madison County,Mississippi,30.5,54.85
37067,Forsyth County,North Carolina,31.5,54.85
46109,Roberts County,South Dakota,31.1,54.88
5133,Sevier County,Arkansas,30.6,54.88
37153,Richmond County,North Carolina,25.7,54.92
8031,Denver County,Colorado,21.9,54.92
22037,East Feliciana Parish,Louisiana,25.8,54.96
53033,King County,Washington,22.9,54.98
48167,Galveston County,Texas,30.9,55.02
13285,Troup County,Georgia,41.8,55.06
34001,Atlantic County,New Jersey,34.1,55.08
2020,Anchorage Municipality,Alaska,31.1,55.09
27105,Nobles County,Minnesota,32.3,55.1
13289,Twiggs County,Georgia,17,55.1
13109,Evans County,Georgia,24.9,55.11
12079,Madison County,Florida,No Data,55.13
40015,Caddo County,Oklahoma,30.5,55.15
51550,Chesapeake City,Virginia,34.7,55.2
31047,Dawson County,Nebraska,37.7,55.26
22081,Red River Parish,Louisiana,17.9,55.27
51181,Surry County,Virginia,22.2,55.28
12047,Hamilton County,Florida,No Data,55.44
1109,Pike County,Alabama,31.4,55.47
8087,Morgan County,Colorado,32,55.49
13309,Wheeler County,Georgia,23.4,55.5
13251,Screven County,Georgia,24.8,55.51
13059,Clarke County,Georgia,28.6,55.56
17089,Kane County,Illinois,29.9,55.58
1097,Mobile County,Alabama,38.2,55.66
13313,Whitfield County,Georgia,34.1,55.69
48075,Childress County,Texas,17.1,55.71
48275,Knox County,Texas,16.5,55.73
41049,Morrow County,Oregon,24.4,55.77
48471,Walker County,Texas,20.4,55.78
8099,Prowers County,Colorado,28.5,55.79
36059,Nassau County,New York,25.5,55.81
48183,Gregg County,Texas,25.7,55.87
13053,Chattahoochee County,Georgia,16.9,55.96
6087,Santa Cruz County,California,16.6,55.96
22101,St. Mary Parish,Louisiana,29.6,56.05
48395,Robertson County,Texas,20.4,56.1
37077,Granville County,North Carolina,24.1,56.15
48099,Coryell County,Texas,35.2,56.16
28105,Oktibbeha County,Mississippi,38.5,56.25
12117,Seminole County,Florida,No Data,56.36
47037,Davidson County,Tennessee,29.5,56.37
1023,Choctaw County,Alabama,31.4,56.5
51630,Fredericksburg City,Virginia,22.6,56.58
36085,Richmond County,New York,31.2,56.58
13069,Coffee County,Georgia,35.1,56.58
45065,Mccormick County,South Carolina,25.8,56.59
48239,Jackson County,Texas,17.3,56.62
4012,La Paz County,Arizona,26,56.62
22029,Concordia Parish,Louisiana,30.6,56.65
20061,Geary County,Kansas,38.1,56.65
8011,Bent County,Colorado,17.9,56.66
28153,Wayne County,Mississippi,28.5,56.77
12043,Glades County,Florida,No Data,56.78
13131,Grady County,Georgia,27.2,56.8
51131,Northampton County,Virginia,28.5,56.84
5093,Mississippi County,Arkansas,31.2,56.93
13175,Laurens County,Georgia,36.8,56.96
38061,Mountrail County,North Dakota,39.4,57
37105,Lee County,North Carolina,29.9,57.03
13267,Tattnall County,Georgia,24.9,57.09
51770,Roanoke City,Virginia,34.8,57.17
28035,Forrest County,Mississippi,36.2,57.19
48293,Limestone County,Texas,17.8,57.26
22073,Ouachita Parish,Louisiana,32.3,57.26
48001,Anderson County,Texas,25,57.28
48253,Jones County,Texas,23.4,57.28
8005,Arapahoe County,Colorado,25.2,57.29
28099,Neshoba County,Mississippi,36.9,57.42
28033,Desoto County,Mississippi,39.5,57.44
13113,Fayette County,Georgia,23.7,57.44
13275,Thomas County,Georgia,31.1,57.5
